district,average family size,state
1,2.94,alaska
2,3.25,alaska
3,3.33,alaska
4,3.05,alaska
5,3.06,alaska
6,3.28,alaska
7,3.89,alaska
8,3.88,alaska
9,3.52,alaska
10,3.91,alaska
11,3.93,alaska
12,3.7,alaska
13,3.4,alaska
14,3.27,alaska
15,3.43,alaska
16,3.33,alaska
17,3.16,alaska
18,2.78,alaska
19,3.9,alaska
20,2.93,alaska
21,3.04,alaska
22,3.27,alaska
23,3.48,alaska
24,3.06,alaska
25,3.36,alaska
26,3.3,alaska
27,2.92,alaska
28,3.01,alaska
29,3.27,alaska
30,3.36,alaska
31,3.21,alaska
32,3.63,alaska
33,3.19,alaska
34,3.19,alaska
35,3.02,alaska
36,3.13,alaska
37,3.6,alaska
38,4.54,alaska
39,4.15,alaska
40,4.18,alaska
1,3.17,arkansas
2,3.2,arkansas
3,3.16,arkansas
4,3.23,arkansas
5,3.15,arkansas
6,3.03,arkansas
7,3.07,arkansas
8,3.15,arkansas
9,3.14,arkansas
10,2.89,arkansas
11,3.0,arkansas
12,3.07,arkansas
13,2.89,arkansas
14,3.14,arkansas
15,3.12,arkansas
16,3.01,arkansas
17,2.92,arkansas
18,2.91,arkansas
19,3.12,arkansas
20,2.89,arkansas
21,3.03,arkansas
22,2.72,arkansas
23,3.11,arkansas
24,2.96,arkansas
25,3.1,arkansas
26,2.99,arkansas
27,3.31,arkansas
28,3.25,arkansas
29,3.56,arkansas
30,3.12,arkansas
31,3.1,arkansas
32,3.14,arkansas
33,2.95,arkansas
34,3.06,arkansas
35,2.91,arkansas
36,3.38,arkansas
37,3.24,arkansas
38,3.04,arkansas
39,2.99,arkansas
40,3.26,arkansas
41,3.16,arkansas
42,3.18,arkansas
43,3.08,arkansas
44,3.28,arkansas
45,3.13,arkansas
46,3.17,arkansas
47,2.85,arkansas
48,2.97,arkansas
49,3.0,arkansas
50,3.11,arkansas
51,3.16,arkansas
52,3.02,arkansas
53,2.98,arkansas
54,3.0,arkansas
55,2.86,arkansas
56,2.72,arkansas
57,2.99,arkansas
58,2.92,arkansas
59,3.18,arkansas
60,2.92,arkansas
61,3.02,arkansas
62,3.17,arkansas
63,3.1,arkansas
64,2.7,arkansas
65,3.09,arkansas
66,3.01,arkansas
67,3.43,arkansas
68,3.07,arkansas
69,3.19,arkansas
70,3.07,arkansas
71,3.34,arkansas
72,3.04,arkansas
73,3.22,arkansas
74,3.06,arkansas
75,2.88,arkansas
76,2.93,arkansas
77,2.79,arkansas
78,3.31,arkansas
79,3.04,arkansas
80,3.11,arkansas
81,3.16,arkansas
82,3.33,arkansas
83,3.08,arkansas
84,3.04,arkansas
85,3.01,arkansas
86,2.79,arkansas
87,3.15,arkansas
88,3.38,arkansas
89,3.46,arkansas
90,3.34,arkansas
91,3.26,arkansas
92,3.02,arkansas
93,3.19,arkansas
94,3.22,arkansas
95,2.98,arkansas
96,3.2,arkansas
97,3.02,arkansas
98,3.25,arkansas
99,2.94,arkansas
100,2.67,arkansas
1,2.91,california
2,3.04,california
3,3.27,california
4,3.23,california
5,3.18,california
6,3.18,california
7,3.39,california
8,3.24,california
9,3.57,california
10,3.08,california
11,3.47,california
12,3.51,california
13,3.76,california
14,3.34,california
15,3.2,california
16,3.18,california
17,3.05,california
18,3.49,california
19,3.33,california
20,3.6,california
21,3.77,california
22,3.26,california
23,3.46,california
24,3.26,california
25,3.44,california
26,3.68,california
27,3.96,california
28,3.21,california
29,3.19,california
30,3.95,california
31,3.97,california
32,3.92,california
33,3.68,california
34,3.46,california
35,3.3,california
36,3.77,california
37,3.24,california
38,3.45,california
39,4.01,california
40,3.63,california
41,3.26,california
42,3.29,california
43,3.26,california
44,3.71,california
45,3.41,california
46,3.43,california
47,4.1,california
48,3.98,california
49,3.58,california
50,2.94,california
51,3.74,california
52,4.0,california
53,3.66,california
54,3.24,california
55,3.5,california
56,3.84,california
57,3.9,california
58,3.84,california
59,4.36,california
60,4.18,california
61,4.15,california
62,3.51,california
63,4.09,california
64,4.28,california
65,3.75,california
66,3.25,california
67,3.87,california
68,3.39,california
69,4.31,california
70,3.36,california
71,3.46,california
72,3.58,california
73,3.21,california
74,3.06,california
75,3.57,california
76,3.35,california
77,3.29,california
78,2.86,california
79,3.6,california
80,3.91,california
1,3.78,colorado
2,2.85,colorado
3,3.1,colorado
4,3.52,colorado
5,3.26,colorado
6,3.01,colorado
7,4.0,colorado
8,3.16,colorado
9,3.08,colorado
10,2.87,colorado
11,3.11,colorado
12,3.05,colorado
13,2.83,colorado
14,3.24,colorado
15,3.21,colorado
16,2.94,colorado
17,3.35,colorado
18,2.79,colorado
19,3.26,colorado
20,2.92,colorado
21,3.4,colorado
22,3.05,colorado
23,2.98,colorado
24,2.99,colorado
25,2.92,colorado
26,3.16,colorado
27,3.03,colorado
28,3.08,colorado
29,3.19,colorado
30,3.75,colorado
31,3.51,colorado
32,3.82,colorado
33,3.19,colorado
34,3.65,colorado
35,3.32,colorado
36,3.52,colorado
37,3.22,colorado
38,2.97,colorado
39,3.09,colorado
40,3.22,colorado
41,3.27,colorado
42,3.71,colorado
43,3.13,colorado
44,3.26,colorado
45,3.31,colorado
46,3.17,colorado
47,3.08,colorado
48,3.33,colorado
49,2.96,colorado
50,3.74,colorado
51,3.08,colorado
52,3.07,colorado
53,3.01,colorado
54,3.09,colorado
55,3.06,colorado
56,3.43,colorado
57,3.13,colorado
58,2.89,colorado
59,2.98,colorado
60,2.64,colorado
61,2.94,colorado
62,3.15,colorado
63,3.51,colorado
64,2.98,colorado
65,3.13,colorado
1,3.3,connecticut
2,3.11,connecticut
3,3.31,connecticut
4,3.08,connecticut
5,3.41,connecticut
6,3.4,connecticut
7,3.17,connecticut
8,2.82,connecticut
9,3.14,connecticut
10,3.22,connecticut
11,3.1,connecticut
12,2.99,connecticut
13,3.01,connecticut
14,3.11,connecticut
15,3.09,connecticut
16,3.16,connecticut
17,3.04,connecticut
18,3.05,connecticut
19,2.98,connecticut
20,3.11,connecticut
21,2.98,connecticut
22,2.99,connecticut
23,2.81,connecticut
24,3.27,connecticut
25,3.28,connecticut
26,3.1,connecticut
27,2.98,connecticut
28,3.04,connecticut
29,2.72,connecticut
30,2.94,connecticut
31,3.07,connecticut
32,2.92,connecticut
33,2.76,connecticut
34,2.87,connecticut
35,2.91,connecticut
36,2.9,connecticut
37,2.8,connecticut
38,2.84,connecticut
39,2.8,connecticut
40,2.86,connecticut
41,2.68,connecticut
42,3.07,connecticut
43,2.63,connecticut
44,3.01,connecticut
45,2.77,connecticut
46,2.96,connecticut
47,2.9,connecticut
48,2.97,connecticut
49,3.13,connecticut
50,2.87,connecticut
51,2.86,connecticut
52,3.08,connecticut
53,2.9,connecticut
54,2.92,connecticut
55,2.98,connecticut
56,2.73,connecticut
57,3.01,connecticut
58,3.02,connecticut
59,2.9,connecticut
60,2.94,connecticut
61,2.99,connecticut
62,2.99,connecticut
63,2.83,connecticut
64,2.89,connecticut
65,2.91,connecticut
66,2.76,connecticut
67,3.01,connecticut
68,2.92,connecticut
69,2.95,connecticut
70,3.17,connecticut
71,3.14,connecticut
72,3.32,connecticut
73,3.28,connecticut
74,3.15,connecticut
75,3.44,connecticut
76,3.09,connecticut
77,3.12,connecticut
78,3.05,connecticut
79,3.03,connecticut
80,3.12,connecticut
81,2.96,connecticut
82,2.97,connecticut
83,3.2,connecticut
84,3.01,connecticut
85,3.04,connecticut
86,3.04,connecticut
87,3.02,connecticut
88,2.97,connecticut
89,3.32,connecticut
90,3.07,connecticut
91,3.25,connecticut
92,3.23,connecticut
93,3.61,connecticut
94,3.44,connecticut
95,3.65,connecticut
96,2.93,connecticut
97,3.37,connecticut
98,2.94,connecticut
99,3.42,connecticut
100,2.9,connecticut
101,3.01,connecticut
102,2.81,connecticut
103,2.95,connecticut
104,2.93,connecticut
105,3.18,connecticut
106,3.13,connecticut
107,3.18,connecticut
108,3.13,connecticut
109,3.36,connecticut
110,3.45,connecticut
111,3.08,connecticut
112,3.4,connecticut
113,3.01,connecticut
114,3.05,connecticut
115,3.18,connecticut
116,3.2,connecticut
117,3.24,connecticut
118,2.95,connecticut
119,3.2,connecticut
120,3.19,connecticut
121,3.15,connecticut
122,2.99,connecticut
123,3.41,connecticut
124,3.42,connecticut
125,3.45,connecticut
126,3.56,connecticut
127,3.32,connecticut
128,3.39,connecticut
129,3.35,connecticut
130,3.64,connecticut
131,3.05,connecticut
132,3.17,connecticut
133,3.17,connecticut
134,3.16,connecticut
135,3.05,connecticut
136,3.22,connecticut
137,3.05,connecticut
138,3.06,connecticut
139,2.86,connecticut
140,3.38,connecticut
141,3.39,connecticut
142,3.06,connecticut
143,3.29,connecticut
144,3.22,connecticut
145,3.04,connecticut
146,2.98,connecticut
147,3.17,connecticut
148,3.23,connecticut
149,3.17,connecticut
150,3.28,connecticut
151,3.33,connecticut
1,3.5,delaware
2,3.58,delaware
3,3.38,delaware
4,2.84,delaware
5,3.28,delaware
6,3.01,delaware
7,3.17,delaware
8,3.16,delaware
9,3.2,delaware
10,3.13,delaware
11,3.42,delaware
12,2.99,delaware
13,3.4,delaware
14,2.44,delaware
15,3.37,delaware
16,3.4,delaware
17,3.39,delaware
18,3.25,delaware
19,3.23,delaware
20,2.74,delaware
21,3.02,delaware
22,3.06,delaware
23,3.04,delaware
24,3.4,delaware
25,3.0,delaware
26,3.63,delaware
27,3.21,delaware
28,3.14,delaware
29,3.12,delaware
30,3.12,delaware
31,3.05,delaware
32,3.07,delaware
33,2.83,delaware
34,3.23,delaware
35,3.23,delaware
36,3.11,delaware
37,2.8,delaware
38,2.52,delaware
39,3.02,delaware
40,3.23,delaware
41,3.03,delaware
1,3.09,florida
2,3.09,florida
3,3.07,florida
4,3.09,florida
5,2.88,florida
6,2.98,florida
7,3.02,florida
8,3.13,florida
9,2.97,florida
10,3.32,florida
11,2.95,florida
12,3.23,florida
13,3.23,florida
14,3.38,florida
15,3.24,florida
16,3.0,florida
17,3.23,florida
18,3.25,florida
19,3.06,florida
20,3.33,florida
21,3.19,florida
22,2.83,florida
23,3.08,florida
24,2.95,florida
25,2.81,florida
26,3.05,florida
27,3.2,florida
28,3.2,florida
29,3.09,florida
30,3.12,florida
31,3.19,florida
32,3.19,florida
33,2.5,florida
34,2.81,florida
35,2.93,florida
36,2.97,florida
37,3.15,florida
38,3.16,florida
39,3.39,florida
40,3.4,florida
41,3.44,florida
42,3.69,florida
43,3.9,florida
44,3.34,florida
45,3.66,florida
46,3.71,florida
47,2.99,florida
48,3.64,florida
49,3.4,florida
50,3.3,florida
51,3.03,florida
52,3.08,florida
53,3.27,florida
54,3.24,florida
55,3.04,florida
56,3.55,florida
57,3.35,florida
58,3.39,florida
59,3.22,florida
60,3.06,florida
61,3.58,florida
62,3.38,florida
63,3.28,florida
64,3.1,florida
65,2.91,florida
66,3.0,florida
67,3.09,florida
68,3.03,florida
69,2.85,florida
70,3.63,florida
71,2.94,florida
72,2.79,florida
73,3.04,florida
74,2.69,florida
75,2.79,florida
76,2.68,florida
77,3.23,florida
78,3.2,florida
79,3.61,florida
80,3.38,florida
81,3.33,florida
82,3.06,florida
83,3.16,florida
84,3.16,florida
85,3.06,florida
86,3.43,florida
87,3.9,florida
88,3.75,florida
89,2.86,florida
90,3.32,florida
91,2.71,florida
92,3.61,florida
93,2.79,florida
94,3.74,florida
95,3.67,florida
96,3.35,florida
97,3.46,florida
98,3.33,florida
99,3.53,florida
100,2.93,florida
101,3.72,florida
102,3.76,florida
103,3.62,florida
104,3.49,florida
105,3.71,florida
106,2.69,florida
107,3.9,florida
108,3.78,florida
109,3.72,florida
110,3.36,florida
111,3.5,florida
112,3.21,florida
113,3.01,florida
114,3.5,florida
115,3.4,florida
116,3.45,florida
117,3.91,florida
118,3.62,florida
119,3.72,florida
120,3.42,florida
1,3.01,georgia
2,3.1,georgia
3,3.13,georgia
4,3.41,georgia
5,3.22,georgia
6,3.33,georgia
7,2.85,georgia
8,2.76,georgia
9,3.16,georgia
10,3.23,georgia
11,3.12,georgia
12,3.14,georgia
13,3.13,georgia
14,3.18,georgia
15,3.24,georgia
16,3.22,georgia
17,3.28,georgia
18,3.06,georgia
19,3.4,georgia
20,3.05,georgia
21,3.36,georgia
22,3.24,georgia
23,3.19,georgia
24,3.2,georgia
25,3.38,georgia
26,3.3,georgia
27,3.3,georgia
28,3.22,georgia
29,3.68,georgia
30,3.6,georgia
31,3.22,georgia
32,3.11,georgia
33,3.05,georgia
34,3.16,georgia
35,3.42,georgia
36,3.36,georgia
37,3.17,georgia
38,3.23,georgia
39,3.39,georgia
40,2.9,georgia
41,3.43,georgia
42,3.12,georgia
43,2.9,georgia
44,3.06,georgia
45,3.13,georgia
46,3.22,georgia
47,3.28,georgia
48,3.21,georgia
49,3.16,georgia
50,3.38,georgia
51,3.05,georgia
52,3.0,georgia
53,3.44,georgia
54,2.88,georgia
55,3.19,georgia
56,3.1,georgia
57,3.09,georgia
58,3.05,georgia
59,3.27,georgia
60,3.61,georgia
61,3.42,georgia
62,3.48,georgia
63,3.29,georgia
64,3.39,georgia
65,3.64,georgia
66,3.45,georgia
67,3.37,georgia
68,3.28,georgia
69,3.16,georgia
70,3.23,georgia
71,3.1,georgia
72,3.17,georgia
73,3.36,georgia
74,3.63,georgia
75,3.66,georgia
76,3.49,georgia
77,3.62,georgia
78,3.37,georgia
79,3.19,georgia
80,2.98,georgia
81,3.5,georgia
82,3.17,georgia
83,3.3,georgia
84,3.3,georgia
85,3.68,georgia
86,3.76,georgia
87,3.81,georgia
88,3.39,georgia
89,3.2,georgia
90,3.48,georgia
91,3.42,georgia
92,3.52,georgia
93,3.5,georgia
94,3.69,georgia
95,3.23,georgia
96,3.58,georgia
97,3.39,georgia
98,3.52,georgia
99,3.82,georgia
100,4.07,georgia
101,3.66,georgia
102,3.52,georgia
103,3.58,georgia
104,3.64,georgia
105,3.52,georgia
106,3.53,georgia
107,3.6,georgia
108,3.65,georgia
109,3.37,georgia
110,3.31,georgia
111,3.41,georgia
112,3.17,georgia
113,3.44,georgia
114,3.43,georgia
115,3.32,georgia
116,3.42,georgia
117,3.04,georgia
118,3.04,georgia
119,3.04,georgia
120,3.02,georgia
121,3.6,georgia
122,3.64,georgia
123,3.42,georgia
124,3.34,georgia
125,3.72,georgia
126,3.52,georgia
127,3.59,georgia
128,2.96,georgia
129,3.08,georgia
130,3.13,georgia
131,3.46,georgia
132,3.36,georgia
133,3.14,georgia
134,3.13,georgia
135,3.49,georgia
136,3.41,georgia
137,3.19,georgia
138,3.06,georgia
139,2.97,georgia
140,3.05,georgia
141,3.16,georgia
142,3.46,georgia
143,3.48,georgia
144,3.23,georgia
145,3.0,georgia
146,3.2,georgia
147,3.2,georgia
148,3.14,georgia
149,3.5,georgia
150,3.31,georgia
151,3.09,georgia
152,3.01,georgia
153,3.25,georgia
154,3.09,georgia
155,3.03,georgia
156,3.3,georgia
157,2.97,georgia
158,3.13,georgia
159,3.3,georgia
160,3.08,georgia
161,3.25,georgia
162,3.27,georgia
163,3.3,georgia
164,3.21,georgia
165,3.32,georgia
166,2.97,georgia
167,3.11,georgia
168,2.93,georgia
169,3.34,georgia
170,3.26,georgia
171,3.15,georgia
172,3.46,georgia
173,3.05,georgia
174,3.29,georgia
175,3.04,georgia
176,3.28,georgia
177,3.37,georgia
178,3.37,georgia
179,2.93,georgia
180,3.07,georgia
1,3.27,hawaii
2,3.27,hawaii
3,3.47,hawaii
4,3.1,hawaii
5,3.4,hawaii
9,3.64,hawaii
10,3.4,hawaii
11,3.13,hawaii
13,3.09,hawaii
14,3.27,hawaii
15,3.78,hawaii
16,3.56,hawaii
17,3.16,hawaii
18,3.18,hawaii
19,3.29,hawaii
20,3.51,hawaii
22,2.6,hawaii
24,2.85,hawaii
30,4.07,hawaii
33,3.32,hawaii
34,3.73,hawaii
35,3.71,hawaii
36,3.5,hawaii
37,3.27,hawaii
39,3.94,hawaii
40,4.27,hawaii
41,3.77,hawaii
43,4.25,hawaii
44,4.42,hawaii
45,3.34,hawaii
47,3.97,hawaii
49,3.59,hawaii
50,3.25,hawaii
51,3.92,hawaii
1,3.93,illinois
2,3.51,illinois
3,3.76,illinois
4,3.33,illinois
5,2.8,illinois
6,3.24,illinois
7,3.37,illinois
8,3.55,illinois
9,3.13,illinois
10,3.37,illinois
11,3.09,illinois
12,2.62,illinois
13,3.06,illinois
14,3.04,illinois
15,3.25,illinois
16,3.57,illinois
17,3.23,illinois
18,3.18,illinois
19,3.3,illinois
20,3.1,illinois
21,3.71,illinois
22,3.94,illinois
23,3.65,illinois
24,3.76,illinois
25,3.3,illinois
26,2.91,illinois
27,3.42,illinois
28,3.54,illinois
29,3.31,illinois
30,3.49,illinois
31,3.44,illinois
32,3.69,illinois
33,3.37,illinois
34,3.35,illinois
35,3.23,illinois
36,3.26,illinois
37,3.28,illinois
38,3.39,illinois
39,3.57,illinois
40,3.34,illinois
41,3.25,illinois
42,3.17,illinois
43,3.8,illinois
44,3.45,illinois
45,3.17,illinois
46,3.34,illinois
47,3.23,illinois
48,3.21,illinois
49,3.38,illinois
50,3.35,illinois
51,3.16,illinois
52,3.16,illinois
53,3.08,illinois
54,3.08,illinois
55,3.18,illinois
56,3.16,illinois
57,3.2,illinois
58,3.07,illinois
59,3.22,illinois
60,3.54,illinois
61,3.28,illinois
62,3.4,illinois
63,3.06,illinois
64,3.11,illinois
65,3.1,illinois
66,3.28,illinois
67,3.1,illinois
68,2.88,illinois
69,3.12,illinois
70,3.23,illinois
71,2.86,illinois
72,2.96,illinois
73,3.03,illinois
74,2.88,illinois
75,3.15,illinois
76,2.86,illinois
77,3.66,illinois
78,3.34,illinois
79,3.21,illinois
80,3.46,illinois
81,3.04,illinois
82,3.14,illinois
83,3.63,illinois
84,3.52,illinois
85,3.49,illinois
86,3.5,illinois
87,2.86,illinois
88,3.01,illinois
89,2.76,illinois
90,2.99,illinois
91,2.89,illinois
92,3.18,illinois
93,2.99,illinois
94,2.91,illinois
95,2.85,illinois
96,3.03,illinois
97,3.54,illinois
98,3.44,illinois
99,2.92,illinois
100,2.98,illinois
101,2.99,illinois
102,2.94,illinois
103,3.01,illinois
104,3.01,illinois
105,3.13,illinois
106,2.9,illinois
107,2.9,illinois
108,2.97,illinois
109,2.85,illinois
110,2.77,illinois
111,2.92,illinois
112,2.96,illinois
113,3.01,illinois
114,3.21,illinois
115,2.9,illinois
116,2.95,illinois
117,2.92,illinois
118,2.93,illinois
1,3.37,indiana
2,3.32,indiana
3,3.18,indiana
4,3.07,indiana
5,3.12,indiana
6,3.35,indiana
7,3.21,indiana
8,2.93,indiana
9,2.92,indiana
10,3.11,indiana
11,3.2,indiana
12,3.1,indiana
13,3.02,indiana
14,3.17,indiana
15,2.88,indiana
16,3.08,indiana
17,3.16,indiana
18,2.78,indiana
19,3.16,indiana
20,3.01,indiana
21,3.38,indiana
22,3.05,indiana
23,3.08,indiana
24,3.17,indiana
25,2.99,indiana
26,3.12,indiana
27,2.96,indiana
28,3.2,indiana
29,3.23,indiana
30,2.91,indiana
31,2.78,indiana
32,2.82,indiana
33,2.9,indiana
34,2.83,indiana
35,2.88,indiana
36,2.94,indiana
37,3.16,indiana
38,3.04,indiana
39,3.02,indiana
40,3.11,indiana
41,2.91,indiana
42,2.84,indiana
43,2.95,indiana
44,2.83,indiana
45,2.83,indiana
46,2.9,indiana
47,3.11,indiana
48,3.19,indiana
49,3.54,indiana
50,2.87,indiana
51,3.21,indiana
52,3.09,indiana
53,2.97,indiana
54,2.95,indiana
55,2.94,indiana
56,2.81,indiana
57,3.12,indiana
58,3.13,indiana
59,3.15,indiana
60,2.99,indiana
61,2.71,indiana
