district,percent of tot. population in poverty,state
65a,21.0,minnesota
65b,17.8,minnesota
66a,8.4,minnesota
66b,24.9,minnesota
67a,19.7,minnesota
67b,20.3,minnesota
1,17.3,missouri
2,14.0,missouri
3,20.7,missouri
4,15.0,missouri
5,17.0,missouri
6,15.3,missouri
7,14.4,missouri
8,10.1,missouri
9,9.7,missouri
10,20.7,missouri
11,12.2,missouri
12,4.3,missouri
13,3.7,missouri
14,6.6,missouri
15,11.6,missouri
16,5.5,missouri
17,7.2,missouri
18,14.2,missouri
19,29.1,missouri
20,8.7,missouri
21,16.9,missouri
22,22.7,missouri
23,35.9,missouri
24,14.6,missouri
25,5.1,missouri
26,21.7,missouri
27,21.6,missouri
28,11.4,missouri
29,11.0,missouri
30,6.4,missouri
31,5.9,missouri
32,6.0,missouri
33,10.4,missouri
34,2.2,missouri
35,8.0,missouri
36,15.1,missouri
37,10.6,missouri
38,7.0,missouri
39,13.0,missouri
40,15.1,missouri
41,10.6,missouri
42,13.4,missouri
43,14.0,missouri
44,14.7,missouri
45,34.6,missouri
46,15.9,missouri
47,9.6,missouri
48,13.0,missouri
49,8.7,missouri
50,11.2,missouri
51,13.3,missouri
52,14.5,missouri
53,11.1,missouri
54,16.6,missouri
55,5.0,missouri
56,9.8,missouri
57,16.2,missouri
58,17.1,missouri
59,8.4,missouri
60,12.2,missouri
61,6.7,missouri
62,12.2,missouri
63,4.7,missouri
64,7.2,missouri
65,8.0,missouri
66,22.9,missouri
67,8.1,missouri
68,11.3,missouri
69,9.8,missouri
70,8.6,missouri
71,9.3,missouri
72,9.1,missouri
73,19.6,missouri
74,19.9,missouri
75,23.2,missouri
76,28.2,missouri
77,25.6,missouri
78,24.4,missouri
79,18.8,missouri
80,18.3,missouri
81,20.7,missouri
82,9.9,missouri
83,6.9,missouri
84,23.2,missouri
85,17.0,missouri
86,18.1,missouri
87,9.0,missouri
88,4.3,missouri
89,2.8,missouri
90,4.7,missouri
91,5.6,missouri
92,7.6,missouri
93,12.4,missouri
94,6.9,missouri
95,5.9,missouri
96,3.3,missouri
97,9.3,missouri
98,3.2,missouri
99,6.9,missouri
100,3.6,missouri
101,3.4,missouri
102,2.9,missouri
103,3.6,missouri
104,3.9,missouri
105,3.7,missouri
106,8.8,missouri
107,6.5,missouri
108,3.5,missouri
109,8.7,missouri
110,3.8,missouri
111,10.1,missouri
112,5.0,missouri
113,9.1,missouri
114,11.7,missouri
115,10.6,missouri
116,11.6,missouri
117,17.4,missouri
118,13.7,missouri
119,13.1,missouri
120,16.1,missouri
121,22.7,missouri
122,13.8,missouri
123,15.2,missouri
124,11.7,missouri
125,17.2,missouri
126,15.4,missouri
127,16.9,missouri
128,15.7,missouri
129,17.8,missouri
130,9.2,missouri
131,19.7,missouri
132,37.4,missouri
133,10.0,missouri
134,13.6,missouri
135,17.5,missouri
136,8.5,missouri
137,11.1,missouri
138,11.5,missouri
139,8.1,missouri
140,12.4,missouri
141,18.1,missouri
142,20.6,missouri
143,22.3,missouri
144,24.3,missouri
145,12.6,missouri
146,9.1,missouri
147,23.0,missouri
148,17.5,missouri
149,25.7,missouri
150,24.7,missouri
151,16.7,missouri
152,24.1,missouri
153,19.3,missouri
154,24.0,missouri
155,18.7,missouri
156,14.9,missouri
157,16.4,missouri
158,18.7,missouri
159,17.0,missouri
160,14.6,missouri
161,18.0,missouri
162,14.1,missouri
163,21.5,missouri
1,16.4,montana
2,17.5,montana
3,12.5,montana
4,7.0,montana
5,7.1,montana
6,6.6,montana
7,15.0,montana
8,13.7,montana
9,8.2,montana
10,6.0,montana
11,11.9,montana
12,9.7,montana
13,16.6,montana
14,17.6,montana
15,36.9,montana
16,28.6,montana
17,14.8,montana
18,14.7,montana
19,10.3,montana
20,5.3,montana
21,9.8,montana
22,15.3,montana
23,21.5,montana
24,16.2,montana
25,18.5,montana
26,11.8,montana
27,9.5,montana
28,15.0,montana
29,17.1,montana
30,16.2,montana
31,32.2,montana
32,31.1,montana
33,15.2,montana
34,8.6,montana
35,6.9,montana
36,11.4,montana
37,9.9,montana
38,12.1,montana
39,10.1,montana
40,10.0,montana
41,23.4,montana
42,27.6,montana
43,6.5,montana
44,9.6,montana
45,5.6,montana
46,6.5,montana
47,16.8,montana
48,14.0,montana
49,15.9,montana
50,9.4,montana
51,13.5,montana
52,9.2,montana
53,3.2,montana
54,6.0,montana
55,8.4,montana
56,14.3,montana
57,5.6,montana
58,10.8,montana
59,8.1,montana
60,13.1,montana
61,6.4,montana
62,15.6,montana
63,17.4,montana
64,6.4,montana
65,12.7,montana
66,20.8,montana
67,11.2,montana
68,5.9,montana
69,5.6,montana
70,5.3,montana
71,7.6,montana
72,15.3,montana
73,13.6,montana
74,29.2,montana
75,6.8,montana
76,9.4,montana
77,19.9,montana
78,16.2,montana
79,8.4,montana
80,4.8,montana
81,11.1,montana
82,10.0,montana
83,15.6,montana
84,9.2,montana
85,9.1,montana
86,20.2,montana
87,11.8,montana
88,8.0,montana
89,15.0,montana
90,15.3,montana
91,21.3,montana
92,11.5,montana
93,19.4,montana
94,5.3,montana
95,23.9,montana
96,7.9,montana
97,5.9,montana
98,11.6,montana
99,11.2,montana
100,18.2,montana
1,7.5,nevada
2,6.0,nevada
3,19.8,nevada
4,7.6,nevada
5,13.7,nevada
6,28.3,nevada
7,14.8,nevada
8,11.8,nevada
9,8.9,nevada
10,22.2,nevada
11,28.4,nevada
12,13.0,nevada
13,7.2,nevada
14,19.7,nevada
15,22.7,nevada
16,25.6,nevada
17,11.2,nevada
18,16.7,nevada
19,12.8,nevada
20,13.9,nevada
21,8.0,nevada
22,6.7,nevada
23,8.9,nevada
24,22.1,nevada
25,6.4,nevada
26,6.7,nevada
27,12.0,nevada
28,28.6,nevada
29,10.0,nevada
30,13.5,nevada
31,7.3,nevada
32,12.0,nevada
33,11.9,nevada
34,11.1,nevada
35,6.2,nevada
36,12.2,nevada
37,9.1,nevada
38,12.1,nevada
39,7.1,nevada
40,9.6,nevada
41,8.8,nevada
42,12.8,nevada
1,17.0,new mexico
2,22.6,new mexico
3,16.6,new mexico
4,23.2,new mexico
5,33.9,new mexico
6,33.4,new mexico
7,20.9,new mexico
8,11.7,new mexico
9,36.0,new mexico
10,20.1,new mexico
11,22.3,new mexico
12,21.8,new mexico
13,14.8,new mexico
14,24.0,new mexico
15,12.7,new mexico
16,19.1,new mexico
17,14.8,new mexico
18,26.7,new mexico
19,25.4,new mexico
20,11.9,new mexico
21,33.5,new mexico
22,6.5,new mexico
23,8.2,new mexico
24,11.3,new mexico
25,17.0,new mexico
26,19.4,new mexico
27,8.7,new mexico
28,9.6,new mexico
29,7.9,new mexico
30,16.4,new mexico
31,4.4,new mexico
32,24.0,new mexico
33,28.2,new mexico
34,28.2,new mexico
35,28.1,new mexico
36,16.7,new mexico
37,17.0,new mexico
38,24.3,new mexico
39,25.7,new mexico
40,16.8,new mexico
41,22.7,new mexico
42,16.4,new mexico
43,8.7,new mexico
44,6.2,new mexico
45,10.7,new mexico
46,13.3,new mexico
47,9.3,new mexico
48,20.0,new mexico
49,23.4,new mexico
50,16.5,new mexico
51,19.0,new mexico
52,32.5,new mexico
53,25.5,new mexico
54,19.4,new mexico
55,12.6,new mexico
56,13.8,new mexico
57,11.6,new mexico
58,28.3,new mexico
59,13.3,new mexico
60,7.8,new mexico
61,19.2,new mexico
62,14.4,new mexico
63,24.8,new mexico
64,17.1,new mexico
65,31.6,new mexico
66,14.2,new mexico
67,21.7,new mexico
68,7.8,new mexico
69,29.6,new mexico
70,26.8,new mexico
1,8.8,new york
2,5.3,new york
3,9.3,new york
4,5.0,new york
5,5.5,new york
6,8.7,new york
7,5.9,new york
8,3.4,new york
9,4.1,new york
10,6.4,new york
11,8.2,new york
12,5.2,new york
13,5.9,new york
14,3.1,new york
15,4.4,new york
16,5.4,new york
17,4.8,new york
18,12.8,new york
19,4.4,new york
20,5.1,new york
21,4.3,new york
22,4.7,new york
23,12.4,new york
24,11.1,new york
25,12.5,new york
26,7.0,new york
27,11.9,new york
28,7.9,new york
29,9.3,new york
30,9.1,new york
31,14.9,new york
32,11.6,new york
33,8.0,new york
34,12.3,new york
35,14.6,new york
36,9.7,new york
37,12.3,new york
38,11.1,new york
39,15.3,new york
40,18.7,new york
41,11.8,new york
42,15.0,new york
43,15.7,new york
44,15.1,new york
45,17.1,new york
46,18.0,new york
47,17.5,new york
48,29.5,new york
49,19.3,new york
50,25.5,new york
51,21.7,new york
52,7.9,new york
53,26.1,new york
54,22.1,new york
55,31.9,new york
56,24.2,new york
57,18.3,new york
58,12.5,new york
59,8.7,new york
60,28.5,new york
61,17.4,new york
62,6.1,new york
63,10.7,new york
64,9.8,new york
65,20.3,new york
66,6.8,new york
67,8.4,new york
68,30.4,new york
69,15.0,new york
70,22.0,new york
71,21.0,new york
72,21.1,new york
73,5.4,new york
74,18.0,new york
75,11.0,new york
76,5.9,new york
77,34.7,new york
78,31.1,new york
79,34.5,new york
80,18.8,new york
81,15.8,new york
82,12.8,new york
83,18.2,new york
84,40.2,new york
85,30.9,new york
86,34.4,new york
87,25.4,new york
88,6.6,new york
89,14.3,new york
90,11.8,new york
91,9.0,new york
92,5.6,new york
93,5.6,new york
94,4.8,new york
95,7.1,new york
96,7.4,new york
97,18.3,new york
98,19.7,new york
99,6.0,new york
100,13.1,new york
101,12.2,new york
102,10.7,new york
103,13.6,new york
104,13.9,new york
105,5.8,new york
106,9.9,new york
107,7.6,new york
108,21.6,new york
109,8.7,new york
110,6.5,new york
111,16.4,new york
112,5.0,new york
113,7.9,new york
114,9.5,new york
115,14.4,new york
116,17.3,new york
117,12.6,new york
118,12.8,new york
119,19.0,new york
120,15.3,new york
121,10.2,new york
122,13.4,new york
123,22.1,new york
124,13.3,new york
125,17.5,new york
126,9.9,new york
127,6.8,new york
128,19.4,new york
129,21.4,new york
130,11.0,new york
131,9.7,new york
132,12.2,new york
133,10.1,new york
134,8.8,new york
135,5.3,new york
136,14.4,new york
137,30.2,new york
138,16.8,new york
139,11.7,new york
140,13.3,new york
141,31.5,new york
142,11.5,new york
143,8.1,new york
144,8.1,new york
145,12.9,new york
146,9.4,new york
147,7.9,new york
148,16.9,new york
149,17.9,new york
150,17.8,new york
1,18.8,north carolina
2,14.4,north carolina
3,14.4,north carolina
4,15.3,north carolina
5,14.9,north carolina
6,10.1,north carolina
7,13.3,north carolina
8,25.1,north carolina
9,17.8,north carolina
10,14.7,north carolina
11,15.1,north carolina
12,20.4,north carolina
13,10.9,north carolina
14,13.1,north carolina
15,12.7,north carolina
16,15.3,north carolina
17,10.8,north carolina
18,22.0,north carolina
19,10.5,north carolina
20,9.6,north carolina
21,23.6,north carolina
22,22.6,north carolina
23,21.7,north carolina
24,19.9,north carolina
25,14.6,north carolina
26,7.7,north carolina
27,24.1,north carolina
28,17.2,north carolina
29,16.6,north carolina
30,11.4,north carolina
31,14.6,north carolina
32,19.7,north carolina
33,16.0,north carolina
34,7.3,north carolina
35,5.4,north carolina
36,4.5,north carolina
37,5.7,north carolina
38,16.5,north carolina
39,9.5,north carolina
40,3.2,north carolina
41,6.0,north carolina
42,16.8,north carolina
43,23.7,north carolina
44,21.3,north carolina
45,13.7,north carolina
46,24.3,north carolina
47,29.4,north carolina
48,21.9,north carolina
49,6.8,north carolina
50,9.8,north carolina
51,15.0,north carolina
52,9.6,north carolina
53,17.2,north carolina
54,9.5,north carolina
55,12.8,north carolina
56,16.6,north carolina
57,18.7,north carolina
58,19.8,north carolina
59,8.2,north carolina
60,18.2,north carolina
61,21.7,north carolina
62,6.6,north carolina
63,14.6,north carolina
64,16.2,north carolina
65,18.6,north carolina
66,19.5,north carolina
67,10.6,north carolina
68,5.3,north carolina
69,8.0,north carolina
70,14.7,north carolina
71,24.9,north carolina
72,25.1,north carolina
73,11.1,north carolina
74,8.8,north carolina
75,10.4,north carolina
76,16.8,north carolina
77,15.1,north carolina
78,14.9,north carolina
79,16.5,north carolina
80,15.5,north carolina
81,14.8,north carolina
82,6.4,north carolina
83,14.3,north carolina
84,10.9,north carolina
85,14.5,north carolina
86,18.8,north carolina
87,14.0,north carolina
88,14.9,north carolina
89,11.6,north carolina
90,19.7,north carolina
91,12.9,north carolina
92,9.0,north carolina
93,21.1,north carolina
94,13.8,north carolina
95,8.8,north carolina
96,13.0,north carolina
97,12.4,north carolina
98,5.1,north carolina
99,14.2,north carolina
100,13.7,north carolina
101,12.5,north carolina
102,22.0,north carolina
103,5.5,north carolina
104,4.8,north carolina
105,4.3,north carolina
106,14.6,north carolina
107,9.7,north carolina
108,12.7,north carolina
109,14.4,north carolina
110,15.6,north carolina
111,18.7,north carolina
112,17.6,north carolina
113,10.6,north carolina
114,14.6,north carolina
115,9.5,north carolina
116,10.2,north carolina
117,11.8,north carolina
118,12.8,north carolina
119,16.7,north carolina
120,16.1,north carolina
1,10.7,ohio
2,13.7,ohio
3,13.1,ohio
4,12.9,ohio
5,13.8,ohio
6,4.0,ohio
7,5.0,ohio
8,19.6,ohio
9,18.0,ohio
10,32.6,ohio
11,36.6,ohio
12,17.2,ohio
13,22.9,ohio
14,15.0,ohio
15,13.1,ohio
16,6.7,ohio
17,22.6,ohio
18,25.1,ohio
19,5.3,ohio
20,9.4,ohio
21,6.1,ohio
22,19.1,ohio
23,10.1,ohio
24,5.9,ohio
25,28.2,ohio
26,20.6,ohio
27,5.8,ohio
28,8.1,ohio
29,12.3,ohio
30,8.4,ohio
31,20.0,ohio
32,27.1,ohio
33,22.1,ohio
34,24.8,ohio
35,19.7,ohio
36,8.2,ohio
37,4.7,ohio
38,6.1,ohio
39,32.6,ohio
40,10.9,ohio
41,9.5,ohio
42,10.8,ohio
43,16.4,ohio
44,32.4,ohio
45,18.7,ohio
46,16.5,ohio
47,6.1,ohio
48,7.1,ohio
49,23.8,ohio
50,10.1,ohio
51,12.3,ohio
52,5.9,ohio
53,14.3,ohio
54,7.6,ohio
55,12.3,ohio
56,18.9,ohio
57,8.6,ohio
58,26.8,ohio
59,8.1,ohio
60,10.1,ohio
61,6.4,ohio
62,5.5,ohio
63,13.1,ohio
64,21.7,ohio
65,7.8,ohio
66,13.5,ohio
67,5.0,ohio
68,7.9,ohio
69,5.5,ohio
70,10.0,ohio
71,11.2,ohio
72,12.6,ohio
73,9.9,ohio
74,10.9,ohio
75,12.5,ohio
76,6.1,ohio
77,9.5,ohio
78,13.6,ohio
79,16.5,ohio
80,8.5,ohio
81,8.9,ohio
82,9.9,ohio
83,11.3,ohio
84,8.1,ohio
85,10.7,ohio
86,9.5,ohio
87,10.4,ohio
88,12.7,ohio
89,10.8,ohio
90,22.5,ohio
91,17.7,ohio
92,14.6,ohio
93,17.8,ohio
94,22.4,ohio
95,12.2,ohio
96,15.7,ohio
97,16.9,ohio
98,11.6,ohio
99,17.4,ohio
3,20.1,oklahoma
4,21.9,oklahoma
11,11.3,oklahoma
23,19.5,oklahoma
24,20.9,oklahoma
26,18.6,oklahoma
28,18.7,oklahoma
29,14.8,oklahoma
30,10.5,oklahoma
34,37.8,oklahoma
43,8.4,oklahoma
45,14.4,oklahoma
46,11.1,oklahoma
55,17.6,oklahoma
56,17.4,oklahoma
57,17.1,oklahoma
62,16.2,oklahoma
64,23.2,oklahoma
65,12.5,oklahoma
66,15.3,oklahoma
68,13.4,oklahoma
71,20.8,oklahoma
78,14.7,oklahoma
79,13.8,oklahoma
81,16.0,oklahoma
83,7.4,oklahoma
85,8.4,oklahoma
87,18.3,oklahoma
88,15.0,oklahoma
89,29.2,oklahoma
90,21.2,oklahoma
93,21.8,oklahoma
94,18.9,oklahoma
95,15.4,oklahoma
97,18.2,oklahoma
100,9.4,oklahoma
101,6.8,oklahoma
1,12.8,oregon
2,15.1,oregon
3,16.2,oregon
4,12.2,oregon
5,13.7,oregon
6,15.4,oregon
7,15.7,oregon
8,16.2,oregon
9,15.2,oregon
10,15.1,oregon
11,19.3,oregon
12,17.9,oregon
13,15.6,oregon
14,15.7,oregon
15,9.9,oregon
16,22.8,oregon
17,12.8,oregon
18,8.4,oregon
19,11.2,oregon
20,10.0,oregon
21,15.3,oregon
22,22.4,oregon
23,10.5,oregon
24,12.2,oregon
25,10.1,oregon
26,6.2,oregon
27,7.7,oregon
28,10.9,oregon
29,11.6,oregon
30,8.3,oregon
31,8.8,oregon
32,9.7,oregon
33,7.0,oregon
34,8.3,oregon
35,7.2,oregon
36,15.2,oregon
37,7.8,oregon
38,5.5,oregon
39,7.3,oregon
40,8.9,oregon
41,9.3,oregon
42,11.7,oregon
43,12.0,oregon
44,16.7,oregon
45,8.7,oregon
46,12.3,oregon
47,19.4,oregon
48,11.8,oregon
49,14.0,oregon
50,15.6,oregon
51,11.0,oregon
52,7.2,oregon
53,8.6,oregon
54,10.8,oregon
55,12.6,oregon
56,19.5,oregon
57,14.8,oregon
58,12.9,oregon
59,11.3,oregon
60,16.9,oregon
1,27.7,pennsylvania
2,17.4,pennsylvania
3,9.2,pennsylvania
4,12.6,pennsylvania
5,5.5,pennsylvania
6,9.1,pennsylvania
7,17.0,pennsylvania
8,8.5,pennsylvania
9,13.7,pennsylvania
10,14.8,pennsylvania
11,10.5,pennsylvania
12,4.0,pennsylvania
13,8.0,pennsylvania
14,6.2,pennsylvania
15,6.9,pennsylvania
16,11.8,pennsylvania
17,11.1,pennsylvania
18,9.3,pennsylvania
19,29.7,pennsylvania
20,11.8,pennsylvania
21,8.8,pennsylvania
22,27.9,pennsylvania
23,20.7,pennsylvania
24,22.6,pennsylvania
25,10.0,pennsylvania
26,9.0,pennsylvania
27,14.8,pennsylvania
28,3.6,pennsylvania
29,3.7,pennsylvania
30,4.1,pennsylvania
31,3.1,pennsylvania
32,7.6,pennsylvania
33,14.4,pennsylvania
34,16.9,pennsylvania
35,22.1,pennsylvania
36,14.5,pennsylvania
37,6.2,pennsylvania
38,9.3,pennsylvania
39,5.0,pennsylvania
40,3.2,pennsylvania
41,6.5,pennsylvania
42,5.3,pennsylvania
43,7.5,pennsylvania
44,4.4,pennsylvania
45,9.5,pennsylvania
46,6.0,pennsylvania
47,7.1,pennsylvania
48,8.7,pennsylvania
49,14.1,pennsylvania
50,15.6,pennsylvania
51,16.9,pennsylvania
52,14.4,pennsylvania
53,6.4,pennsylvania
54,5.0,pennsylvania
55,10.5,pennsylvania
56,6.1,pennsylvania
57,9.6,pennsylvania
58,12.6,pennsylvania
59,8.2,pennsylvania
60,9.9,pennsylvania
61,3.5,pennsylvania
62,15.1,pennsylvania
63,14.6,pennsylvania
64,13.2,pennsylvania
65,15.0,pennsylvania
66,14.7,pennsylvania
67,14.9,pennsylvania
68,12.6,pennsylvania
69,9.5,pennsylvania
70,10.9,pennsylvania
71,18.1,pennsylvania
72,10.0,pennsylvania
73,16.0,pennsylvania
74,8.7,pennsylvania
75,11.4,pennsylvania
76,13.4,pennsylvania
77,37.7,pennsylvania
78,10.2,pennsylvania
79,18.9,pennsylvania
80,8.9,pennsylvania
81,9.6,pennsylvania
82,10.6,pennsylvania
83,17.8,pennsylvania
84,10.4,pennsylvania
85,10.2,pennsylvania
86,10.0,pennsylvania
87,5.7,pennsylvania
88,6.3,pennsylvania
89,10.2,pennsylvania
90,8.5,pennsylvania
91,7.7,pennsylvania
92,5.6,pennsylvania
93,6.6,pennsylvania
94,7.3,pennsylvania
95,22.5,pennsylvania
96,19.8,pennsylvania
97,5.0,pennsylvania
98,10.7,pennsylvania
99,7.3,pennsylvania
100,11.8,pennsylvania
101,14.8,pennsylvania
102,6.7,pennsylvania
103,23.2,pennsylvania
104,8.9,pennsylvania
105,6.3,pennsylvania
106,9.0,pennsylvania
107,13.4,pennsylvania
108,10.5,pennsylvania
109,14.6,pennsylvania
110,12.0,pennsylvania
111,11.6,pennsylvania
112,14.7,pennsylvania
